cím;rendezo;gyarto;ev;hossz
A tűzből nincs kiút;Jay Russell;Amerikai Egyesült Államok;2004;0
A nemzet aranya;Jon Turteltaub;Amerikai Egyesült Államok;2004;131
Ocean's Twelve;Steven Soderbergh;Amerikai Egyesült Államok;2004;
Oldboy;Chan-Wook Park;Dél-Korea;2003;120
Mar Adentro;Alejandro Amenábar;Spanyolország, Olaszország, Franciaország;2004;125
Reservoir Dogs;Quentin Tarantino;Amerikai Egyesült Államok;1992;99
A bukás – Hitler utolsó napjai;Oliver Hirschbiegel;Ausztria, Németország, Olaszország;2004;156
Nagy zűr Korzikán;Alain Berbérian;Franciaország;2004;92
A Riviéra vadorzói;Frank Oz;Amerikai Egyesült Államok;1990;0
Dühöngő bika;Martin Scorsese;Amerikai Egyesült Államok;1980;0
Rambo 3;Peter MacDonald;Amerikai Egyesült Államok;1988;0
Exodus;Otto Preminger;Amerikai Egyesült Államok;1960;0
Cuttthroat Island;Renny Harlin;Olaszország, Amerikai Egyesült Államok, Franciaország;1995;0
Macskaszem;Lewis Teague;Amerikai Egyesült Államok;1985;0
A szicíliai;Michael Cimino;Amerikai Egyesült Államok;1987;0
A lökött;Jerry Lewis;Amerikai Egyesült Államok;1964;0
Bambi;David Hand;Amerikai Egyesült Államok;1942;0
Az olasz meló;F. Gary Gray;Franciaország, Amerikai Egyesült Államok, Egyesült Királyság;2003;0
Errand Boy;Jerry Lewis;Amerikai Egyesült Államok;1961;0
Cinderfella;Frank Tashlin;Amerikai Egyesült Államok;1960;0
Bellboy;Jerry Lewis;Amerikai Egyesült Államok;1960;0
A nők kedvence;Jerry Lewis;Amerikai Egyesült Államok;1961;0
Terminátor;James Cameron;Amerikai Egyesült Államok, Egyesült Királyság;1984;0
Zebra kutatóállomás;John Sturges;Amerikai Egyesült Államok;1968;0
Fiatalember trombitával ;Michael Curtiz;Amerikai Egyesült Államok;1950;0
John Paul Pope II. - Do this in memory of me;Ismeretlen;Amerikai Egyesült Államok;1800;0
Félig üres;Larry David;Amerikai Egyesült Államok;2000;0
A kanyaron túl;Jordan Roberts;Amerikai Egyesült Államok;2004;0
Harcosok szövetsége;Je-gyu Kang;Dél-Korea;2004;0
Ne edd meg a százszorszépeket!;Charles Walters;Amerikai Egyesült Államok;1960;0
Végállomás a Saber folyónál;Dick Lowry;Amerikai Egyesült Államok;1997;0
Fuss, szaladj, menekülj!;P. J. Pesce;Amerikai Egyesült Államok;1995;0
Mondj igent!;Juan Calvo;Spanyolország;2004;94
Tor-túra;Brian Levant;Amerikai Egyesült Államok;2005;0
Az átjáró;David Winkler;Amerikai Egyesült Államok;2005;0
Hely a szívemben;Robert Benton;Amerikai Egyesült Államok;1984;0
Double Zero;Gérard Pirés;Egyesült Királyság, Franciaország;2004;0
Egyenesbe jövünk;Jonathan Teplitzky;Ausztrália, Egyesült Királyság;2003;0
Péntek esti fények;Peter Berg;Amerikai Egyesült Államok;2004;0
II. János Pál pápa élete;Ismeretlen;Egyesült Királyság;2003;0
Michael Palin: SZAHARA - A fáradhatatlan utazó sivatagai;John Paul Davidson;Egyesült Királyság;2004;55
Michael Palin: HIMALÁJA - Misztikus utazás a világ tetején;John Paul Davidson;Egyesült Királyság;2004;55
David Attenborough - A madarak világa;Joanna Sarsby;Egyesült Királyság;1998;50
David Attenborough - Az emlősök világa;Joanna Sarsby;Egyesült Királyság;2002;50
Állati olimpia;Ismeretlen;Egyesült Királyság;2004;60
Jó reggelt búbánat;Otto Preminger;Amerikai Egyesült Államok;1958;0
Az üveghajó;Frank Tashlin;Amerikai Egyesült Államok;1966;0
Conagher;Reynaldo Villalobos;Amerikai Egyesült Államok;1991;0
A cápa;Steven Spielberg;Amerikai Egyesült Államok;1975;0
12 majom;Terry Gilliam;Amerikai Egyesült Államok;1995;0
Karate kutya;Bob Clark;Amerikai Egyesült Államok, Németország;2004;84
Bújj, bújj szellem;Rafal Zielinskí;Amerikai Egyesült Államok;2003;103
Inuyasha;Naoya Aoki;Japán;2000;0
Lakótársat keresünk;Cédric Klapisch;Franciaország;2002;122
Rudi a róka;Manfred Durniok;Németország;1989;0
Utcai szamurájok;Julien Seri;Egyesült Királyság, Franciaország;2004;90
Vörös és fekete;Jerry London;Franciaország, Amerikai Egyesült Államok;1983;143
Lőj a zongoristára!;François Truffaut;Franciaország;1960;92
Leckék az életről;Mick Jackson;Amerikai Egyesült Államok;1999;89
Arábiai Lawrence 2.: Egy veszélyes ember;Christopher Menaul;Egyesült Királyság;1990;107
Folytassa a dzsungelben!;Gerald Thomas;Egyesült Királyság;1970;89
Jules és Jim;François Truffaut;Franciaország;1962;105
Peacemaker;Mimi Leder;Amerikai Egyesült Államok;1997;0
Milliókért a pokolba;Demian Lichtenstein;Amerikai Egyesült Államok;2001;125
Angyali szemek;Luis Mandoki;Amerikai Egyesült Államok;2001;102
A cucc;François Desagnat;Franciaország;2003;93
Cimborák - Hegyen-völgyön;Homoki Nagy István;Magyarország;1960;0
Szeleburdi család;Palásthy György;Magyarország;1981;0
Szeleburdi vakáció;Palásthy György;Magyarország;1987;0
A dunai hajós;Markos Miklós;Magyarország;1974;0
A nagy küzdelem;David Huey;Amerikai Egyesült Államok;1997;90
Részeges kung-fu mester;Hai-feng Wei;Hongkong;1979;83
Halálbüntetés;Adrian Vitoria;Egyesült Királyság;2003;88
Amerikai igazságosztó;Steven Austin;Amerikai Egyesült Államok;1992;90
Mint a mennyekben;Kay Pollak;Svédország;2004;0
A hónap dolgozója;Mitch Rouse;Amerikai Egyesült Államok;2004;0
Fertőzés;Masayuki Ochiai;Japán;2004;84
Előérzet;Norio Tsuruta;Japán;2004;94
Világok harca;Steven Spielberg;Amerikai Egyesült Államok;2005;116
Chucky ivadéka;Don Mancini;Amerikai Egyesült Államok;2004;87
American graffiti;George Lucas;Amerikai Egyesült Államok;1973;115
More american graffiti;Bill L. Norton;Amerikai Egyesült Államok;1979;110
Getting any;Takeshi Kitano;Japán;1991;108
Tengerparti helyszín;Takeshi Kitano;Japán;1991;101
A kölykök visszatérnek;Takeshi Kitano;Japán;1996;107
Totál gáz;Ray Etheridge;Amerikai Egyesült Államok;1991;94
Mr. Bean 6.;Alexei Alexeev;Egyesült Királyság;2002;80
A polip VII. (18-19. rész);Luigi Perelli;Olaszország;1985;120
A kockásfülű nyúl;Richly Zsolt;Magyarország;1978;0
Aranypáva;Cserépy László;Magyarország;1943;0
Az új rokon;Gaál Béla;Magyarország;1935;0
Lila akác;Székely István;Magyarország;1934;0
Pesti mese;Gaál Béla;Magyarország;1937;0
A címzett ismeretlen;Gaál Béla;Magyarország;1935;0
Ez a villa eladó;Ismeretlen;Magyarország;1935;0
Papucshős;Vaszary János;Magyarország;1938;0
Fizessen nagysád;Ráthonyi Ákos;Magyarország;1937;0
Vérszomj;John Fawcett;Amerikai Egyesült Államok, Kanada;2000;0
Gagyi mami;Raja Gosnell;Amerikai Egyesült Államok;2000;0
A bájkeverő;Harold Ramis;Amerikai Egyesült Államok;2000;0
A tenger vadjai;John Stockwell;Amerikai Egyesült Államok;2005;110
Alul semmi;Peter Cattaneo;Egyesült Királyság;1997;0
A sziget;Michael Bay;Amerikai Egyesült Államok;2005;0
Ünneprontók ünnepe;David Dobkin;Amerikai Egyesült Államok;2005;119
Hagymaföld;Harold Becker;Amerikai Egyesült Államok;1979;0
Sokkoló;Wes Craven;Amerikai Egyesült Államok;1989;0
Rosszfiúk;Rick Rosenthal;Amerikai Egyesült Államok;1983;0
A nagyon nagy Ő;Peter Farrelly, Bobby Farrelly;Amerikai Egyesült Államok;2001;0
Űrgolyhók - extra változat;Mel Brooks;Amerikai Egyesült Államok;1987;0
Zorba a görög;Michael Cacoyannis;Amerikai Egyesült Államok, Görögország, Egyesült Királyság;1964;0
Szigetek az áramlatban;Franklin J. Schaffner;Amerikai Egyesült Államok;1977;0
Tarzan 2.;Brian Smith;Amerikai Egyesült Államok;2005;0
Mélytengeri szörnyeteg;Sean S. Cunningham;Amerikai Egyesült Államok;1988;0
Nézz az égre;John Duigan;Kanada, Egyesült Királyság;2004;0
Hajrá fegyencváros;Robert Aldrich;Amerikai Egyesült Államok;1984;0
Egy tiszta nap szembenézhetsz az örökkévalósággal;Vincente Minnelli;Amerikai Egyesült Államok;1970;0
A vasmacska kölykei;Garry Marshall;Amerikai Egyesült Államok;1987;0
A pofátlan;Barry W. Blaustein;Amerikai Egyesült Államok;2004;0
Rocky;John G. Avildsen;Amerikai Egyesült Államok;1976;0
First daughter;Forest Whitaker;Amerikai Egyesült Államok;2004;0
A régi környék;Zach Braff;Amerikai Egyesült Államok;2004;0
Én és én, meg az Irén;Peter Farrelly, Bobby Farrelly;Amerikai Egyesült Államok;2000;0
Stigmata;Rupert Wainwright;Amerikai Egyesült Államok;1999;0
New York, New York;Martin Scorsese;Amerikai Egyesült Államok;1977;0
Tortúra;Rob Reiner;Amerikai Egyesült Államok;1990;0
Lángoló Mississippi;Alan Parker;Amerikai Egyesült Államok;1988;0
Szakasz;Oliver Stone;Amerikai Egyesült Államok;1986;0
Nő csapdában;Walter Grauman;Amerikai Egyesült Államok;1964;0
Menedék;Frank E. Flowers;Németország, Amerikai Egyesült Államok, Egyesült Királyság;2004;0
Tök alsó - Európai turné;Mike Bigelow;Amerikai Egyesült Államok;2005;0
Álomharcos;Zachary Weintraub;Amerikai Egyesült Államok;2004;0
Tűzhányó;Mick Jackson;Amerikai Egyesült Államok;1997;0
Nyom nélkül;George Sluizer;Amerikai Egyesült Államok;1993;0
Ne szólj száj;Gary Fleder;Amerikai Egyesült Államok;2001;0
Crash;Paul Haggis;Amerikai Egyesült Államok, Németország;2004;0
Holtpont;Kathryn Bigelow;Amerikai Egyesült Államok;1991;0
A mélység titka;James Cameron;Amerikai Egyesült Államok;1989;0
Keresd a nőt;Bobby Farrelly, Peter Farrelly;Amerikai Egyesült Államok;1998;0
Moulin Rouge;Baz Luhrmann;Ausztrália, Amerikai Egyesült Államok;2001;0
Vonzások és állatságok;Michael Lehmann;Amerikai Egyesült Államok;1996;0
Mindhalálig zene;Bob Fosse;Amerikai Egyesült Államok;1979;0
Láncreakció;Andrew Davis;Amerikai Egyesült Államok;1996;0
Zsinóron;Anders Ronnow-Klarlund;Norvégia, Svédország, Dánia, Egyesült Királyság;2004;88
Ha te nem lennél;Arnaud Desplechin;Franciaország;2004;150
Kocka 3.;Ernie Barbarash;Kanada;2004;97
Szahara;Breck Eisner;Németország, Amerikai Egyesült Államok, Egyesült Királyság, Spanyolország;2005;124
A halál nyomában;Philippe Martinez;Németország, Amerikai Egyesült Államok;2004;90
11 parancsolat;François Desagnat;Franciaország;2004;85
Multik haza!;David O. Russell;Németország, Amerikai Egyesült Államok;2004;106
Túszdráma;Florent Emilio Siri;Németország, Amerikai Egyesült Államok;2005;113
Lagzi - randi;Clare Kilner;Amerikai Egyesült Államok;2005;90
Narco;Gilles Lellouche, Tristan Aurouet;Franciaország;2004;105
Elszabott frigy;Álex de la Iglesia;Olaszország, Spanyolország;2004;105
Hawaii, Oslo;Erik Poppe;Svédország, Dánia, Norvégia;2004;125
Szerelmem nyara;Pawel Pawlikowski;Egyesült Királyság;2004;86
Sárkányok háborúja;Courtney Solomon;Amerikai Egyesült Államok;2000;104
Ágyúgolyó futam;Hal Needham;Amerikai Egyesült Államok;1980;96
Ház a kísértethegyen;William Malone;Amerikai Egyesült Államok;1999;89
Véres vasárnap;Paul Greengrass;Írország;2002;106
Megváltó szex;Laura Maná;Spanyolország;1999;109
8 nő;François Ozon;Franciaország;2002;111
DIG! – Ezt kapd ki!;Ondi Timoner;Amerikai Egyesült Államok;2004;0
Elátkozottak;Wes Craven;Amerikai Egyesült Államok, Németország;2005;0
Retrograde;Christopher Kulikowski;Egyesült Királyság, Amerikai Egyesült Államok, Luxemburg;2004;93
Wicker Park;Paul McGuigan;Amerikai Egyesült Államok;2004;0
Az űzött vad;Mike Hodges;Amerikai Egyesült Államok, Egyesült Királyság;2003;102
Yes men;Dan Ollman;Amerikai Egyesült Államok;2003;83
Repülő ördögök;A. Edward Sutherland;Amerikai Egyesült Államok;1939;69
A generális;Buster Keaton;Amerikai Egyesült Államok;1927;76
Amerikai fogócska;Stanley Donen;Amerikai Egyesült Államok;1963;108
Az óra körbejár;Orson Welles;Amerikai Egyesült Államok;1946;88
Magas feszültség;Alexandre Aja;Franciaország;2003;91
Logan bosszúja;Michael Preece;Amerikai Egyesült Államok;1998;0
Emil és a detektívek;Franziska Buch;Németország;2001;111
A cigánybalerina;Ismeretlen;NA;2001;60
Vágy;Lance Young;Amerikai Egyesült Államok;1997;0
A chicagoi tanú;Peter Yates;Amerikai Egyesült Államok;1968;0
A cincinatti kölyök;Norman Jewison;Amerikai Egyesült Államok;1965;0
Crusader;Bryan Goeres;Spanyolország;2004;0
Szép kis kalamajka;Blake Edwards;Amerikai Egyesült Államok;1986;0
Élő fegyver;James Fargo;Amerikai Egyesült Államok;1982;0
Botcsinálta túsz;Steve Rash;Amerikai Egyesült Államok;1999;0
A Marvin Gardens királya;Bob Rafelson;Amerikai Egyesült Államok;1972;0
Lilith;Robert Rossen;Amerikai Egyesült Államok;1964;0
Szemtelen szemtanúk;Stephen Herek;Amerikai Egyesült Államok;2005;0
Bízzál bennem;Robert Benton;Amerikai Egyesült Államok;1987;0
Elsöprő túlerő;John Sturges;Amerikai Egyesült Államok;1959;0
Havannai emberünk;Carol Reed;Egyesült Királyság;1959;0
Rekviem a ringben;Ralph Nelson;Amerikai Egyesült Államok;1962;0
Veszélyes börtön;Charles Winkler;Amerikai Egyesült Államok;2005;0
New York rabszolgái;James Ivory;Amerikai Egyesült Államok;1989;0
Amit az Úr alkotott;Joseph Sargent;Amerikai Egyesült Államok;2004;0
Spangol – magamat sem értem;James L. Brooks;Amerikai Egyesült Államok;2004;130
Tízezer dolláros megbízatás;J. Lee Thompson;Amerikai Egyesült Államok;1976;0
Bombázók a seregnek;Ivan Reitman;Amerikai Egyesült Államok;1981;0
Superman;Dave Fleischer;Amerikai Egyesült Államok;1941;0
Tom Horn;William Wiard;Amerikai Egyesült Államok;1980;0
Rémségek könyve – véres kor;Mary Lambert;Amerikai Egyesült Államok;2005;0
Lassan a testtel;Charles Walters;Amerikai Egyesült Államok;1966;0
Hétköznapi emberek;Jim McKay;Amerikai Egyesült Államok;2004;0
Kincs ez a nő;Mike Nichols;Amerikai Egyesült Államok;1975;0
A szökés;Sam Peckinpah;Amerikai Egyesült Államok;1972;0
Fegyvere van veszélyes;Mark L. Lester;Amerikai Egyesült Államok;1986;0
Születés;Jonathan Glazer;Amerikai Egyesült Államok;2004;0
Csendőrök New Yorkban;Jean Girault;Franciaország;1965;99
A csendőr és a földönkívüliek;Jean Girault;Franciaország;1979;96
A csendőr nősül;Jean Girault;Franciaország;1968;92
A csendőr nyugdíjba megy;Jean Girault;Franciaország;1970;97
A csendőr és a csendőrlányok;Tony Aboyantz;Franciaország;1982;100
A Saint – Tropez-i csendőrök;Jean Girault;Franciaország;1964;92
Seriff az égből;Michele Lupo;Olaszország;1979;0
A seriff és az idegenek;Michele Lupo;Olaszország;1980;0
Mindent bele fiúk!;Giuseppe Colizzi;Olaszország;1972;105
Nevem senki;Tonino Valerii;Franciaország, NSZK, Olaszország;1973;112
Egy zseni, két haver, egy balek;Damiano Damiani;Olaszország, NSZK, Franciaország;1975;117
Akit bulldózernek hívtak;Michele Lupo;Olaszország;1978;110
Én a vízilovakkal vagyok;Italo Zingarelli;Olaszország;1979;90
Az ördög jobb és bal keze;Enzo Barboni;Olaszország;1970;109
Horrorra akadva 4;David Zucker;Amerikai Egyesült Államok;2004;95
Silent Hill – A halott város;Christophe Gans;Kanada, Amerikai Egyesült Államok, Japán, Franciaország;2006;0
A sólyom nyomában;Gottfried Kolditz;NDK, Szovjetunió;1968;0
Sandokan;Sergio Sollima;Franciaország, Egyesült Királyság, Olaszország, NSZK;1975;0
Kormányzóválasztás;John Sayles;Amerikai Egyesült Államok;2004;128
Tapas;Juan Cruz, José Corbacho;Spanyolország, Argentína, Mexikó;2005;94
Mrs Henderson;Stephen Frears;Egyesült Királyság;2005;0
Guantanamo;Michael Winterbottom;Egyesült Királyság;2006;95
Kebab Connection ;Anno Saul, Sinan Akkus;Németország;2005;96
C.R.A.Z.Y ;Jean-Marc Vallée;Kanada;2005;127
Pokol ;Claude Chabrol;Franciaország;1994;0
Barbie Diaries;Eric Fogel;Amerikai Egyesült Államok;2006;0
Önkéntesek;Nicholas Meyer;Amerikai Egyesült Államok;1985;107
Barbie Mermaideas;Walter P. Martishius, William Lau;Amerikai Egyesült Államok;2006;0
Főiroda;Ken Finkleman;Amerikai Egyesült Államok;1985;90
Disney históriák 6;Hamilton Luske;Amerikai Egyesült Államok;2005;0
Jázmin meséi: bűbáj és varázslat;több rendező;NA;2005;71
24. 4. évad;Robert Cochran, Joel Surnow;Amerikai Egyesült Államok;2005;0
Éjféli gyors;Rodriguez Endre;Magyarország;1943;0
Café Moszkva;Székely István;Magyarország;1933;0
5 óra 40;Tóth Endre;Magyarország;1939;78
Bokszmeccs a lélekért;Agustín Díaz Yanes;Mexikó, Olaszország, Spanyolország, Franciaország;2001;112
A négyek jele;Peter Hammond;Egyesült Királyság;1987;87
A fej nélküli lovas;Pierre Gang;Amerikai Egyesült Államok, Kanada;1999;90
A legédesebb történetek;több rendező;Amerikai Egyesült Államok;2006;0
Óvatos duhaj;Arlene Sanford;Amerikai Egyesült Államok;2002;79
Jákob rabbi kalandjai;Gérard Oury;Franciaország;1973;100
Ütős játék;Bill Paxton;Amerikai Egyesült Államok;2005;120
Csapd le csimpánz 2;Robert Vince;Kanada;2001;0
Szájkosaras kosaras 4;Robert Vince;Kanada, Amerikai Egyesült Államok;2002;0
Aranylabda;Cheik Doukouré;Guinea, Franciaország;1994;90
Ismeretlen hívás;Simon West;Amerikai Egyesült Államok;2006;87
Tündi Bündi Barátok  Sorozat;Rhode Montijo, Kenn Navarro;Amerikai Egyesült Államok;2006;0
Mátkaság és legényélet ;Gurinder Chadha;Egyesült Királyság, Amerikai Egyesült Államok;2004;0
Kísérlet;Tim Hunter;Amerikai Egyesült Államok;2004;90
